category,type,date,impressions,clicks,cost_micros
Feeditem,Image,2022-01-20,20903760,722345,6917040581061
Feeditem,Image,2022-01-21,19991842,582943,4286542852306
Feeditem,Image,2022-01-22,19102686,625037,3438834842929
Feeditem,Image,2022-01-23,20038544,672290,4307133648864
Feeditem,Image,2022-01-24,19184017,646789,5022315122550
Feeditem,Image,2022-01-25,20751718,641564,4433735432989
Feeditem,Image,2022-01-26,21696148,654041,4461974759965
Feeditem,Image,2022-01-27,20558872,628024,3996401311592
Feeditem,Image,2022-01-28,22494666,627343,3790262489119
Feeditem,Image,2022-01-29,22889554,699072,3278214772695
Feeditem,Image,2022-01-30,22982319,696576,3355590332174
Feeditem,Image,2022-01-31,17653593,506938,3316172519721
Feeditem,Image,2022-02-01,13156316,380230,3681998161358
Feeditem,Image,2022-02-02,13587768,374066,3741789714218
Feeditem,Image,2022-02-03,14532089,392339,3758547186229
Feeditem,Image,2022-02-04,15241100,380747,3470770285833
Feeditem,Image,2022-02-05,15272950,388274,2968710965870
Feeditem,Image,2022-02-06,13877337,398524,3639263810888
Feeditem,Image,2022-02-07,13748956,388206,3883136842674
Feeditem,Image,2022-02-08,12250796,383402,3577834159340
Feeditem,Image,2022-02-09,12715243,377829,3457945784213
Feeditem,Image,2022-02-10,13803326,402807,3830650196860
Feeditem,Image,2022-02-11,14362910,410626,4227860110545
Feeditem,Image,2022-02-12,14755408,422372,3255973914592
Feeditem,Image,2022-02-13,14626520,437413,3503500575117
Feeditem,Image,2022-02-14,12374146,393486,4175107296987
Feeditem,Image,2022-02-15,12661186,399531,4098784095479
Feeditem,Image,2022-02-16,11616202,375046,4210009806668
Feeditem,Image,2022-02-17,12021828,382826,4239714946256
Feeditem,Image,2022-02-18,12954011,376009,4335025114044
Feeditem,Image,2022-02-19,13343921,389992,3729633418786
Feeditem,Image,2022-02-20,12373214,400055,3901267144051
Feeditem,Image,2022-02-21,11532270,382977,4846523155111
Feeditem,Image,2022-02-22,10862820,333700,4009487141963
Feeditem,Image,2022-02-23,10737306,336308,4365270939907
Feeditem,Image,2022-02-24,10550334,321111,4253327400873
Feeditem,Image,2022-02-25,11629215,312095,4384427219320
Feeditem,Image,2022-02-26,11294801,317843,3723739664907
Feeditem,Image,2022-02-27,10526376,333287,3750606727025
Feeditem,Image,2022-02-28,9382098,309370,4618517062703
Feeditem,Image,2022-03-01,10345803,304004,4564279334725
Feeditem,Image,2022-03-02,10812093,308552,4768013782306
Feeditem,Image,2022-03-03,10535839,321150,5215946977010
Feeditem,Image,2022-03-04,13025379,322302,4882792936736
