field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
Promotion,2022-04-04,35057,4612,12988069227
Promotion,2022-04-05,32868,4603,12514002880
Promotion,2022-04-06,33199,4546,12302613478
Promotion,2022-04-07,73298,5772,12501327818
Promotion,2022-04-08,87152,5536,9875495805
Promotion,2022-04-09,102106,5940,8257125283
Promotion,2022-04-10,106735,6613,9188992676
Promotion,2022-04-11,103039,7027,13606940059
Promotion,2022-04-12,25849,1401,1000670000
Sitelink,2022-01-01,22510,2195,29762250000
Sitelink,2022-01-02,30870,3028,39394490000
Sitelink,2022-01-03,34893,3235,49813430000
Sitelink,2022-01-04,36100,3536,51433320000
Sitelink,2022-01-05,35080,3254,45976660000
Sitelink,2022-01-06,35026,3119,43464980000
Sitelink,2022-01-07,34720,3141,47812650000
Sitelink,2022-01-08,25587,2217,30435260000
Sitelink,2022-01-09,33713,2974,32842240000
Sitelink,2022-01-10,43669,3985,48636830000
Sitelink,2022-01-11,47726,4081,48795710000
Sitelink,2022-01-12,54904,4683,53326740000
Sitelink,2022-01-13,53011,4476,52550920000
Sitelink,2022-01-14,48591,4122,42998010000
Sitelink,2022-01-15,30868,2525,29240850000
Sitelink,2022-01-16,45065,3802,32134450000
Sitelink,2022-01-17,62917,4727,52616610000
Sitelink,2022-01-18,59710,4691,55173520000
Sitelink,2022-01-19,56514,4484,55375260000
Sitelink,2022-01-20,52952,4047,54643710000
Sitelink,2022-01-21,49697,3848,48005170000
Sitelink,2022-01-22,33047,2560,33714460000
Sitelink,2022-01-23,43069,3402,35677460000
Sitelink,2022-01-24,62019,4686,53020260000
Sitelink,2022-01-25,56713,4690,56094960000
Sitelink,2022-01-26,48273,3868,52804590000
Sitelink,2022-01-27,46577,3969,51286130000
Sitelink,2022-01-28,56009,4314,47963030000
Sitelink,2022-01-29,37399,3096,34673680000
Sitelink,2022-01-30,52010,4379,37094990000
Sitelink,2022-01-31,68587,5303,52529130000
Sitelink,2022-02-01,62025,4800,55135025315
Sitelink,2022-02-02,61420,4833,60164453164
Sitelink,2022-02-03,67665,6501,57839178543
Sitelink,2022-02-04,91126,9335,67312503031
Sitelink,2022-02-05,71260,8319,49918124833
Sitelink,2022-02-06,87630,10375,51415453610
Sitelink,2022-02-07,116592,12163,70298042440
Sitelink,2022-02-08,237688,21012,96236093357
Sitelink,2022-02-09,353783,35764,102465765827
Sitelink,2022-02-10,1023288,127832,294949441407
Sitelink,2022-02-11,1654819,248159,611536567077
Sitelink,2022-02-12,2213278,380741,1819538791653
Sitelink,2022-02-13,2651539,465427,2863469035247
Sitelink,2022-02-14,2874748,481247,3748371962495
Sitelink,2022-02-15,2958048,486974,3465136029944
Sitelink,2022-02-16,4233616,504515,3637795375906
Sitelink,2022-02-17,9016394,837443,6153922858686
Sitelink,2022-02-18,9340443,876824,6267166188228
Sitelink,2022-02-19,9751425,888930,6009255554636
Sitelink,2022-02-20,10078222,902018,5617728137461
Sitelink,2022-02-21,9204287,836357,5563591865536
Sitelink,2022-02-22,9148054,806372,5077044940505
Sitelink,2022-02-23,10460550,824495,5933565076805
Sitelink,2022-02-24,10985614,805769,5696805719853
Sitelink,2022-02-25,11148046,815182,6059121131040
Sitelink,2022-02-26,12052196,853452,6717725284542
Sitelink,2022-02-27,11785777,850765,6721223176184
Sitelink,2022-02-28,10759941,803689,6057140371842
Sitelink,2022-03-01,9557920,831756,6555124801995
Sitelink,2022-03-02,9171320,793225,6700999609729
Sitelink,2022-03-03,9232054,835129,7296973183526
Sitelink,2022-03-04,9480428,914644,6217522403378
Sitelink,2022-03-05,10319951,1004499,7439337616222
Sitelink,2022-03-06,10518753,1053888,7517773665428
Sitelink,2022-03-07,10128839,976736,6817328432630
Sitelink,2022-03-08,9357180,803259,6309361676899
Sitelink,2022-03-09,10967364,1295026,19348423308951
Sitelink,2022-03-10,10077948,1262937,32107675579628
